Provinsi;2015;2016;2017;2018
ACEH;20.50;23.31;30.56;40.47
SUMATERA UTARA;22.09;25.99;35.11;43.65
SUMATERA BARAT;29.03;32.53;38.03;47.49
RIAU;28.49;32.33;39.78;49.45
JAMBI;24.51;27.03;32.80;43.42
SUMATERA SELATAN;21.80;25.20;32.03;41.33
BENGKULU;24.24;26.34;32.90;40.42
LAMPUNG;16.27;20.87;28.36;40.23
KEP. BANGKA BELITUNG;24.86;28.70;35.31;45.45
KEP. RIAU;43.42;50.10;58.87;65.60
DKI JAKARTA;53.25;58.40;71.39;77.14
JAWA BARAT;29.98;34.84;46.09;55.91
JAWA TENGAH;24.54;29.89;38.75;48.63
DI YOGYAKARTA;43.16;49.23;57.37;68.82
JAWA TIMUR;24.61;29.59;38.76;48.07
BANTEN;31.48;37.01;45.49;57.86
BALI;34.81;41.78;48.33;57.71
NUSA TENGGARA BARAT;18.26;23.71;30.04;37.11
NUSA TENGGARA TIMUR;14.63;18.92;25.30;29.65
KALIMANTAN BARAT;20.23;24.66;30.38;38.92
KALIMANTAN TENGAH;24.03;28.52;35.43;43.17
KALIMANTAN SELATAN;27.92;32.61;37.37;49.32
KALIMANTAN TIMUR;37.49;46.11;50.56;60.85
KALIMANTAN UTARA;30.88;38.50;45.68;58.42
SULAWESI UTARA;30.16;37.20;44.70;51.22
SULAWESI TENGAH;20.24;22.99;31.70;37.02
SULAWESI SELATAN;27.47;31.37;38.74;47.07
SULAWESI TENGGARA;23.02;28.27;35.14;43.94
GORONTALO;23.06;27.30;34.39;42.71
SULAWESI BARAT;16.60;20.86;26.24;33.95
MALUKU;22.11;27.55;31.55;39.20
MALUKU UTARA;15.37;19.21;25.10;34.24
PAPUA BARAT;22.95;26.08;34.68;45.41
PAPUA;11.43;15.00;21.29;24.23
INDONESIA;27.04;31.83;40.48;49.73
